DistrictCode,DistrictName,Region
BLK,Balaka,South
BT,Blantyre,South
CK,Chikwawa,South
CZ,Chiradzulu,South
CP,Chitipa,North
DZ,Dedza,Centre
DA,Dowa,Centre
KA,Karonga,North
KU,Kasungu,Centre
LA,Likoma,North
LL,Lilongwe,Centre
MHG,Machinga,South
MH,Mangochi,South
MC,Mchinji,Centre
MJ,Mulanje,South
MN,Mwanza,South
MZ,Mzimba,North
NN,Neno,South
NB,Nkhata Bay,North
KK,Nkhotakota,Centre
NE,Nsanje,South
NU,Ntcheu,Centre
NS,Ntchisi,Centre
PE,Phalombe,South
RU,Rumphi,South
SA,Salima,Centre
TO,Thyolo,South
ZA,Zomba,South
BT,Blantyre City,South
LL,Lilongwe City,Centre
MZ,Mzuzu City,North
ZA,Zomba City,South

