DISTRICT,District Code,Facility Code,Facility Name,ZONE,FACTYPE,MGA,FTYPE,LATITUDE,LONGITUDE,,
,,,,,,,,,,,
Chitipa,CP,0101,Banja La Mtsogolo Clinic,Northern,Clinic,NGO,Urban,-9.701760,33.273350,,
Chitipa,CP,0102,Chambo Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-9.943610,33.397950,,
Chitipa,CP,0103,Chitipa District Hospital,Northern,District Hospital,Government/public,Urban,-9.701590,33.265900,,
Chitipa,CP,0104,Ifumbo Health Centre,Northern,Health Centre,Government/public,Rural,-9.604360,33.404950,,
Chitipa,CP,0105,Kameme Health Centre,Northern,Health Centre,Government/public,Rural,-9.544250,33.131340,,
Chitipa,CP,0106,Kapenda Health Centre,Northern,Health Centre,Government/public,Urban,-9.493940,33.249110,,
Chitipa,CP,0107,Kaseye Mission Hospital,Northern,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-9.666440,33.373610,,
Chitipa,CP,0108,Misuku Health Centre,Northern,Health Centre,Government/public,Rural,-9.679770,33.520760,,
Chitipa,CP,0112,Mpale Private Clinic,Northern,Clinic,Private for profit,Rural,-10.186900,33.541680,,
Chitipa,CP,0109,Msumbe Dispensary,Northern,Dispensary,Christian Health Association of Malawi (CHAM),Rural,-9.751230,33.675630,,
Chitipa,CP,0110,Nthalire Health Centre,Northern,Health Centre,Government/public,Rural,-10.348940,33.643940,,
Chitipa,CP,0111,Wenya Health Centre,Northern,Health Centre,Government/public,Rural,-10.112860,33.563440,,
,,,,,,,,,,,
Karonga,KA,0206,Karonga District Hospital,Northern,District Hospital,Government/public,Urban,-9.955450,33.911130,,
Karonga,KA,0216,Atupele Community Hospital,Northern,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-9.736820,33.837440,,
Karonga,KA,0219,"Care Private Clinic, Mphenzi,",Northern,Clinic,Private for profit,Urban,-9.939420,33.922970,,
Karonga,KA,0201,Chilumba Rural Hospital,Northern,Rural/Community Hospital,Government/public,Rural,-10.431990,34.251930,,
Karonga,KA,0220,"Chiza Private Clinic, Dube, Wy",Northern,Clinic,Private for profit,Rural,-10.455340,34.209510,,
Karonga,KA,0202,Fulirwa Health Centre,Northern,Health Centre,Government/public,Rural,-10.447720,34.112110,,
Karonga,KA,0203,Hara Health Centre,Northern,Dispensary,Government/public,Rural,-10.488760,34.169390,,
Karonga,KA,0204,Iponga Health Centre,Northern,Health Centre,Government/public,Rural,-9.646050,33.812530,,
Karonga,KA,0205,Kaporo Rural Hospital,Northern,Rural/Community Hospital,Government/public,Rural,-9.767560,33.874660,,
Karonga,KA,0215,Karonga BLM,Northern,Clinic,NGO,Urban,-9.940270,33.924360,,
Karonga,KA,0217,Kasoba Health Centre,Northern,Health Centre,Government/public,Rural,-9.873550,33.869720,,
Karonga,KA,0221,"Kwambukwa Private Clinic, Mbuk",Northern,Clinic,Private for profit,Urban,-9.940490,33.924230,,
Karonga,KA,0207,Lupembe Health Centre,Northern,Health Centre,Government/public,Rural,-10.066280,33.987780,,
Karonga,KA,0208,Lwezga Health Centre,Northern,Health Centre,Government/public,Rural,-10.566920,34.179430,,
Karonga,KA,0222,"Maneno Private Clinic, Mhone,",Northern,Clinic,Private for profit,Urban,-9.940140,33.924360,,
Karonga,KA,0218,Mlare Health Centre,Northern,Health Centre,Government/public,Rural,-10.173000,34.035910,,
Karonga,KA,0209,Mpata Health Centre,Northern,Health Centre,Government/public,Rural,-9.960620,33.815250,,
Karonga,KA,0210,Ngana Health Centre,Northern,Health Centre,Government/public,Rural,-9.620210,33.698910,,
Karonga,KA,0211,Nyungwe Health Centre,Northern,Health Centre,Government/public,Rural,-10.285460,34.108510,,
Karonga,KA,0212,Sangiro Health centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-10.516090,34.213460,,
